model,preset,_source_basename,f1,precision,recall,coverage
sentence-transformers/distiluse-base-multilingual-cased-v2,C_lex_sem_strong,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3495145631067961,0.2117647058823529,1.0,0.9883720930232558
sentence-transformers/all-mpnet-base-v2,I_short_skills_bias,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3488372093023255,0.217391304347826,0.8823529411764706,0.8023255813953488
sentence-transformers/paraphrase-MiniLM-L3-v2,B_hybrid_light,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3461538461538462,0.2093023255813953,1.0,1.0
sentence-transformers/all-mpnet-base-v2,C_lex_sem_strong,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3461538461538462,0.2093023255813953,1.0,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,G_mnn_heavy,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3461538461538462,0.2093023255813953,1.0,1.0
sentence-transformers/paraphrase-albert-small-v2,C_lex_sem_strong,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3300970873786408,0.1976744186046511,1.0,1.0
sentence-transformers/paraphrase-albert-small-v2,J_char_heavy,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3300970873786408,0.1976744186046511,1.0,1.0
sentence-transformers/all-mpnet-base-v2,B_hybrid_light,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3174603174603174,0.2040816326530612,0.7142857142857143,0.5697674418604651
sentence-transformers/sentence-t5-base,F_recall_first,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3137254901960785,0.1860465116279069,1.0,1.0
sentence-transformers/sentence-t5-base,C_lex_sem_strong,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3137254901960785,0.1860465116279069,1.0,1.0
sentence-transformers/sentence-t5-base,D_char_jaccard,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3137254901960785,0.1860465116279069,1.0,1.0
sentence-transformers/sentence-t5-base,J_char_heavy,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3137254901960785,0.1860465116279069,1.0,1.0
embedding-data/deberta-sentence-transformer,J_char_heavy,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3061224489795918,0.180722891566265,1.0,0.9651162790697676
sentence-transformers/all-mpnet-base-v2,E_diversity,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3055555555555555,0.1896551724137931,0.7857142857142857,0.6744186046511628
sentence-transformers/all-mpnet-base-v2,H_zfilter,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3018867924528302,0.2051282051282051,0.5714285714285714,0.4534883720930232
sentence-transformers/sentence-t5-base,H_zfilter,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.297029702970297,0.1744186046511628,1.0,1.0
sentence-transformers/all-distilroberta-v1,A_semantic_only,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.2941176470588235,0.1724137931034483,1.0,0.6744186046511628
sentence-transformers/all-mpnet-base-v2,G_mnn_heavy,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.2857142857142857,0.1666666666666666,1.0,0.9767441860465116
sentence-transformers/sentence-t5-base,G_mnn_heavy,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.28,0.1627906976744186,1.0,1.0
sentence-transformers/sentence-t5-base,I_short_skills_bias,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.28,0.1627906976744186,1.0,1.0
sentence-transformers/sentence-t5-base,B_hybrid_light,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.28,0.1627906976744186,1.0,1.0
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.28,0.1627906976744186,1.0,1.0
sentence-transformers/sentence-t5-base,E_diversity,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.28,0.1627906976744186,1.0,1.0
embedding-data/deberta-sentence-transformer,I_short_skills_bias,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.2696629213483145,0.1578947368421052,0.9230769230769232,0.8837209302325582
embedding-data/deberta-sentence-transformer,D_char_jaccard,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.2666666666666666,0.1558441558441558,0.9230769230769232,0.8953488372093024
sentence-transformers/all-mpnet-base-v2,A_semantic_only,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.2608695652173913,0.1578947368421052,0.75,0.4418604651162791
embedding-data/deberta-sentence-transformer,H_zfilter,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.2528735632183908,0.1447368421052631,1.0,0.8837209302325582
embedding-data/deberta-sentence-transformer,E_diversity,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.2380952380952381,0.1351351351351351,1.0,0.8604651162790697
sentence-transformers/sentence-t5-base,A_semantic_only,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.2352941176470588,0.1395348837209302,0.75,0.5
sentence-transformers/distiluse-base-multilingual-cased-v2,A_semantic_only,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.2340425531914893,0.1325301204819277,1.0,0.9651162790697676
embedding-data/deberta-sentence-transformer,B_hybrid_light,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.2222222222222222,0.125,1.0,0.9302325581395348
embedding-data/deberta-sentence-transformer,F_recall_first,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.2222222222222222,0.125,1.0,0.8372093023255814
embedding-data/deberta-sentence-transformer,G_mnn_heavy,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.1777777777777777,0.0975609756097561,1.0,0.9534883720930232
embedding-data/deberta-sentence-transformer,A_semantic_only,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.0,0.0,0.0,1.0
