model,preset,thr,precision,recall,f1,coverage,queries
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-0.19999999999999996,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-0.1499999999999999,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-0.09999999999999998,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-0.04999999999999993,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,0.0,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,0.050000000000000044,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,0.10000000000000009,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,0.15000000000000013,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,0.20000000000000018,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,0.25,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,0.30000000000000004,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,0.3500000000000001,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,0.40000000000000013,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,0.4500000000000002,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,0.5,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,0.55,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,0.6000000000000001,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,0.6500000000000001,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,0.7000000000000002,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,0.75,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,0.8,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,0.8500000000000001,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,0.9000000000000001,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,0.9500000000000002,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,1.0,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,-1.0,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,-0.95,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,-0.9,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,-0.85,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,-0.8,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,-0.75,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,-0.7,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,-0.6499999999999999,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,-0.6,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,-0.55,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,-0.5,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,-0.44999999999999996,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,-0.3999999999999999,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,-0.35,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,-0.29999999999999993,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,-0.25,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,-0.19999999999999996,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,-0.1499999999999999,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,-0.09999999999999998,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,-0.04999999999999993,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.0,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.050000000000000044,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.10000000000000009,0.1511627906976744,1.0,0.2626262626262626,1.0,86
