model,preset,k,P@k,R@k,F1@k,nDCG@k,MAP@k,MRR,coverage_rel@k,coverage_any@k,queries
embedding-data/deberta-sentence-transformer,H_zfilter,1,0.12790697674418605,0.06395348837209303,0.08527131782945736,0.12790697674418605,0.12790697674418605,0.1648394241417497,0.12790697674418605,1.0,86
embedding-data/deberta-sentence-transformer,H_zfilter,3,0.06201550387596899,0.09883720930232558,0.07558139534883722,0.10188839164216328,0.08139534883720931,0.1648394241417497,0.1744186046511628,1.0,86
embedding-data/deberta-sentence-transformer,H_zfilter,5,0.04883720930232558,0.12790697674418605,0.07032115171650057,0.116303849589292,0.0877906976744186,0.1648394241417497,0.23255813953488372,1.0,86
embedding-data/deberta-sentence-transformer,H_zfilter,10,0.030232558139534883,0.1569767441860465,0.05056377730796335,0.12788147569153513,0.09424141749723144,0.1648394241417497,0.2558139534883721,1.0,86
embedding-data/deberta-sentence-transformer,I_short_skills_bias,1,0.1511627906976744,0.0755813953488372,0.10077519379844961,0.1511627906976744,0.1511627906976744,0.22108711701734957,0.1511627906976744,1.0,86
embedding-data/deberta-sentence-transformer,I_short_skills_bias,3,0.09689922480620154,0.1511627906976744,0.11744186046511627,0.14670216868077832,0.11531007751937984,0.22108711701734957,0.26744186046511625,1.0,86
embedding-data/deberta-sentence-transformer,I_short_skills_bias,5,0.06976744186046513,0.18023255813953487,0.10022148394241419,0.16080518000228736,0.12257751937984497,0.22108711701734957,0.313953488372093,1.0,86
embedding-data/deberta-sentence-transformer,I_short_skills_bias,10,0.04418604651162791,0.22674418604651161,0.07381959126145174,0.17891386226175712,0.13153377630121815,0.22108711701734957,0.36046511627906974,1.0,86
embedding-data/deberta-sentence-transformer,J_char_heavy,1,0.1744186046511628,0.0872093023255814,0.11627906976744186,0.1744186046511628,0.1744186046511628,0.24176356589147288,0.1744186046511628,1.0,86
embedding-data/deberta-sentence-transformer,J_char_heavy,3,0.11240310077519379,0.1744186046511628,0.13604651162790699,0.16715754504641278,0.12887596899224804,0.24176356589147288,0.313953488372093,1.0,86
embedding-data/deberta-sentence-transformer,J_char_heavy,5,0.07209302325581396,0.18604651162790697,0.10354374307862682,0.17267377092476852,0.13352713178294576,0.24176356589147288,0.313953488372093,1.0,86
embedding-data/deberta-sentence-transformer,J_char_heavy,10,0.04418604651162791,0.22674418604651161,0.07381959126145174,0.1891254697064414,0.14224575489110372,0.24176356589147288,0.3488372093023256,1.0,86
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,1,0.11627906976744186,0.05813953488372093,0.07751937984496124,0.11627906976744186,0.11627906976744186,0.22790236249538576,0.11627906976744186,1.0,86
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,3,0.12403100775193798,0.18604651162790697,0.14883720930232558,0.16185721847846732,0.12596899224806202,0.22790236249538576,0.313953488372093,1.0,86
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,5,0.09767441860465115,0.2441860465116279,0.1395348837209303,0.19100058099834444,0.1451550387596899,0.22790236249538576,0.37209302325581395,1.0,86
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,10,0.0627906976744186,0.31976744186046513,0.10482734319943622,0.2196223814219205,0.15756967515688444,0.22790236249538576,0.46511627906976744,1.0,86
sentence-transformers/all-MiniLM-L6-v2,B_hybrid_light,1,0.22093023255813954,0.11046511627906977,0.14728682170542634,0.22093023255813954,0.22093023255813954,0.2785991140642303,0.22093023255813954,1.0,86
sentence-transformers/all-MiniLM-L6-v2,B_hybrid_light,3,0.11240310077519379,0.1686046511627907,0.13488372093023257,0.1767117196683939,0.13953488372093023,0.2785991140642303,0.313953488372093,1.0,86
sentence-transformers/all-MiniLM-L6-v2,B_hybrid_light,5,0.07906976744186048,0.19767441860465115,0.11295681063122927,0.19175207086676205,0.1505813953488372,0.2785991140642303,0.3372093023255814,1.0,86
sentence-transformers/all-MiniLM-L6-v2,B_hybrid_light,10,0.04999999999999999,0.2558139534883721,0.0835095137420719,0.21279656729349247,0.15888704318936878,0.2785991140642303,0.4186046511627907,1.0,86
sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,1,0.23255813953488372,0.12209302325581395,0.15891472868217052,0.23255813953488372,0.23255813953488372,0.2826965669988926,0.23255813953488372,1.0,86
sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,3,0.11240310077519382,0.1744186046511628,0.13604651162790699,0.1857082965808251,0.1511627906976744,0.2826965669988926,0.313953488372093,1.0,86
sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,5,0.07441860465116279,0.19186046511627908,0.10686600221483945,0.19460752864959813,0.15668604651162793,0.2826965669988926,0.3372093023255814,1.0,86
sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,10,0.04534883720930233,0.23255813953488372,0.07575757575757577,0.21096337420277744,0.16481173864894796,0.2826965669988926,0.38372093023255816,1.0,86
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,1,0.23255813953488372,0.11627906976744186,0.15503875968992248,0.23255813953488372,0.23255813953488372,0.29080841638981175,0.23255813953488372,1.0,86
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,3,0.12403100775193798,0.18604651162790697,0.14883720930232558,0.19190443590540232,0.15503875968992248,0.29080841638981175,0.32558139534883723,1.0,86
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,5,0.08372093023255815,0.20930232558139536,0.11960132890365453,0.20387422753897297,0.16172480620155041,0.29080841638981175,0.36046511627906974,1.0,86
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,10,0.04999999999999999,0.2558139534883721,0.08350951374207191,0.22056656961248222,0.1684985234403839,0.29080841638981175,0.4186046511627907,1.0,86
