container,source,path_rel,basename,ext,size_bytes,size_kb,modified,artifact_type,pipeline_expected,pipeline_tag_in_name,suffix_applicable,suffix_expected,suffix_present,pipeline_tag_mismatch,abs_path
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_I_short_skills_bias_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_I_short_skills_bias_dwa_cb25d773_skill_1edbbb05.csv,.csv,544193,531.4,2025-09-17T15:00:34,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_I_short_skills_bias_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_J_char_heavy_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_J_char_heavy_dwa_cb25d773_skill_1edbbb05.csv,.csv,539370,526.7,2025-09-17T15:01:02,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_J_char_heavy_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_A_semantic_only_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_A_semantic_only_dwa_cb25d773_skill_1edbbb05.csv,.csv,517886,505.7,2025-09-17T15:04:32,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_A_semantic_only_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_B_hybrid_light_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_B_hybrid_light_dwa_cb25d773_skill_1edbbb05.csv,.csv,539159,526.5,2025-09-17T15:04:38,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_B_hybrid_light_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_C_lex_sem_strong_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_C_lex_sem_strong_dwa_cb25d773_skill_1edbbb05.csv,.csv,547042,534.2,2025-09-17T15:04:44,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_C_lex_sem_strong_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_D_char_jaccard_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_D_char_jaccard_dwa_cb25d773_skill_1edbbb05.csv,.csv,552080,539.1,2025-09-17T15:05:02,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_D_char_jaccard_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_E_diversity_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_E_diversity_dwa_cb25d773_skill_1edbbb05.csv,.csv,536340,523.8,2025-09-17T15:05:08,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_E_diversity_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_F_recall_first_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_F_recall_first_dwa_cb25d773_skill_1edbbb05.csv,.csv,534444,521.9,2025-09-17T15:05:14,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_F_recall_first_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_G_mnn_heavy_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_G_mnn_heavy_dwa_cb25d773_skill_1edbbb05.csv,.csv,532592,520.1,2025-09-17T15:05:20,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_G_mnn_heavy_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_H_zfilter_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_H_zfilter_dwa_cb25d773_skill_1edbbb05.csv,.csv,525829,513.5,2025-09-17T15:05:26,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_H_zfilter_dwa_cb25d773_skill_1edbbb05.csv
