model,preset,k,P@k,R@k,F1@k,nDCG@k,MAP@k,MRR,coverage_rel@k,coverage_any@k,queries
sentence_transformers_all_distilroberta_v1,F_recall_first,10,0.11282051282051278,0.5641025641025641,0.1880341880341881,0.5685865935493567,0.296504884004884,0.4730667480667481,0.8974358974358975,1.0,39
sentence_transformers_all_distilroberta_v1,G_mnn_heavy,1,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5190476190476191,0.3333333333333333,1.0,39
sentence_transformers_all_distilroberta_v1,G_mnn_heavy,3,0.2478632478632479,0.3717948717948718,0.2974358974358975,0.46764531519206615,0.28205128205128205,0.5190476190476191,0.6153846153846154,1.0,39
sentence_transformers_all_distilroberta_v1,G_mnn_heavy,5,0.21538461538461534,0.5384615384615384,0.3076923076923078,0.5751730924925473,0.33076923076923076,0.5190476190476191,0.8461538461538461,1.0,39
sentence_transformers_all_distilroberta_v1,G_mnn_heavy,10,0.12307692307692306,0.6153846153846154,0.20512820512820518,0.6067952542327223,0.3453500203500203,0.5190476190476191,0.8974358974358975,1.0,39
sentence_transformers_all_distilroberta_v1,H_zfilter,1,0.3076923076923077,0.15384615384615385,0.20512820512820512,0.3076923076923077,0.3076923076923077,0.48956043956043954,0.3076923076923077,1.0,39
sentence_transformers_all_distilroberta_v1,H_zfilter,3,0.2564102564102564,0.38461538461538464,0.30769230769230776,0.4397936314912547,0.2735042735042735,0.48956043956043954,0.6410256410256411,1.0,39
sentence_transformers_all_distilroberta_v1,H_zfilter,5,0.20512820512820512,0.5128205128205128,0.29304029304029316,0.5180297529005836,0.310042735042735,0.48956043956043954,0.8205128205128205,1.0,39
sentence_transformers_all_distilroberta_v1,H_zfilter,10,0.12564102564102564,0.6282051282051282,0.20940170940170943,0.571122359723575,0.3376170126170126,0.48956043956043954,0.8717948717948718,1.0,39
sentence_transformers_all_distilroberta_v1,I_short_skills_bias,1,0.358974358974359,0.1794871794871795,0.2393162393162393,0.358974358974359,0.358974358974359,0.5327228327228327,0.358974358974359,1.0,39
sentence_transformers_all_distilroberta_v1,I_short_skills_bias,3,0.2564102564102564,0.38461538461538464,0.30769230769230776,0.47871113305038304,0.2927350427350427,0.5327228327228327,0.6410256410256411,1.0,39
sentence_transformers_all_distilroberta_v1,I_short_skills_bias,5,0.21025641025641023,0.5256410256410257,0.3003663003663005,0.5745096261328376,0.33376068376068374,0.5327228327228327,0.8461538461538461,1.0,39
sentence_transformers_all_distilroberta_v1,I_short_skills_bias,10,0.12307692307692306,0.6153846153846154,0.20512820512820512,0.608881266797261,0.35385632885632884,0.5327228327228327,0.8717948717948718,1.0,39
sentence_transformers_all_distilroberta_v1,J_char_heavy,1,0.358974358974359,0.1794871794871795,0.2393162393162393,0.358974358974359,0.358974358974359,0.5323361823361823,0.358974358974359,1.0,39
sentence_transformers_all_distilroberta_v1,J_char_heavy,3,0.27350427350427353,0.41025641025641024,0.32820512820512826,0.5014509486204994,0.3098290598290598,0.5323361823361823,0.6666666666666666,1.0,39
sentence_transformers_all_distilroberta_v1,J_char_heavy,5,0.2,0.5,0.28571428571428586,0.5634341801478303,0.3361111111111111,0.5323361823361823,0.7948717948717948,1.0,39
sentence_transformers_all_distilroberta_v1,J_char_heavy,10,0.12307692307692306,0.6153846153846154,0.20512820512820512,0.6121633029644371,0.36031746031746026,0.5323361823361823,0.8717948717948718,1.0,39
sentence_transformers_all_mpnet_base_v2,A_semantic_only,1,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3820512820512821,0.3333333333333333,1.0,39
sentence_transformers_all_mpnet_base_v2,A_semantic_only,3,0.1282051282051282,0.19230769230769232,0.15384615384615388,0.32425679935074625,0.1794871794871795,0.3820512820512821,0.358974358974359,1.0,39
sentence_transformers_all_mpnet_base_v2,A_semantic_only,5,0.09230769230769233,0.23076923076923078,0.1318681318681319,0.34634008737057026,0.18717948717948718,0.3820512820512821,0.4358974358974359,1.0,39
sentence_transformers_all_mpnet_base_v2,A_semantic_only,10,0.07692307692307694,0.38461538461538464,0.12820512820512825,0.43104002264682806,0.21437728937728937,0.3820512820512821,0.6410256410256411,1.0,39
sentence_transformers_all_mpnet_base_v2,B_hybrid_light,1,0.358974358974359,0.1794871794871795,0.2393162393162393,0.358974358974359,0.358974358974359,0.5254578754578754,0.358974358974359,1.0,39
