model,preset,k,P@k,R@k,F1@k,nDCG@k,MAP@k,MRR,coverage_rel@k,coverage_any@k,queries,_source_container,_source_pipeline,_source_artifact,_source_basename,_source_relpath,_source_mtime
embedding_data_deberta_sentence_transformer,H_zfilter,3,0.094017094017094,0.141025641025641,0.1128205128205128,0.2291667525629279,0.1089743589743589,0.2412393162393162,0.282051282051282,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,H_zfilter,5,0.0666666666666666,0.1666666666666666,0.0952380952380952,0.2458570328143928,0.1147435897435897,0.2412393162393162,0.3333333333333333,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,H_zfilter,10,0.0487179487179487,0.2435897435897435,0.0811965811965812,0.2837451951500137,0.130591168091168,0.2412393162393162,0.4102564102564102,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,I_short_skills_bias,1,0.1794871794871795,0.0897435897435897,0.1196581196581196,0.1794871794871795,0.1794871794871795,0.273962148962149,0.1794871794871795,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,I_short_skills_bias,3,0.1282051282051282,0.1923076923076923,0.1538461538461538,0.2660258128181634,0.1303418803418803,0.273962148962149,0.3846153846153846,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,I_short_skills_bias,5,0.0871794871794871,0.2179487179487179,0.1245421245421245,0.2831507941218221,0.1386752136752136,0.273962148962149,0.4102564102564102,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,I_short_skills_bias,10,0.0564102564102564,0.282051282051282,0.094017094017094,0.3155870620229243,0.1532509157509157,0.273962148962149,0.4615384615384615,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,J_char_heavy,1,0.2051282051282051,0.1025641025641025,0.1367521367521367,0.2051282051282051,0.2051282051282051,0.3106125356125356,0.2051282051282051,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,J_char_heavy,3,0.1196581196581196,0.1794871794871795,0.1435897435897436,0.2615221245409513,0.1388888888888888,0.3106125356125356,0.358974358974359,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,J_char_heavy,5,0.0923076923076923,0.2307692307692307,0.1318681318681318,0.2957720871482687,0.1555555555555555,0.3106125356125356,0.4102564102564102,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,J_char_heavy,10,0.0692307692307692,0.3461538461538461,0.1153846153846154,0.3603626817595077,0.1760632885632885,0.3106125356125356,0.5641025641025641,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,A_semantic_only,1,0.3076923076923077,0.1538461538461538,0.2051282051282051,0.3076923076923077,0.3076923076923077,0.4346459096459096,0.3076923076923077,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,A_semantic_only,3,0.1623931623931623,0.2435897435897435,0.1948717948717949,0.366987437175963,0.1987179487179487,0.4346459096459096,0.4615384615384615,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,A_semantic_only,5,0.1282051282051282,0.3205128205128205,0.1831501831501831,0.4168039941158004,0.2179487179487179,0.4346459096459096,0.5897435897435898,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,A_semantic_only,10,0.0974358974358974,0.4871794871794871,0.1623931623931624,0.5039357306874088,0.2514702889702889,0.4346459096459096,0.7692307692307693,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,B_hybrid_light,1,0.3333333333333333,0.1666666666666666,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5074074074074073,0.3333333333333333,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,B_hybrid_light,3,0.2478632478632478,0.3717948717948718,0.2974358974358975,0.4539820336045367,0.2884615384615384,0.5074074074074073,0.6410256410256411,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,B_hybrid_light,5,0.1794871794871795,0.4487179487179487,0.2564102564102565,0.5044875754111254,0.3115384615384615,0.5074074074074073,0.7435897435897436,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,B_hybrid_light,10,0.1153846153846153,0.5769230769230769,0.1923076923076923,0.5645079813204441,0.3402726902726902,0.5074074074074073,0.8205128205128205,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,C_lex_sem_strong,1,0.3076923076923077,0.1538461538461538,0.2051282051282051,0.3076923076923077,0.3076923076923077,0.4742470492470493,0.3076923076923077,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,C_lex_sem_strong,3,0.2307692307692307,0.3461538461538461,0.276923076923077,0.4216266616265133,0.2585470085470085,0.4742470492470493,0.6153846153846154,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,C_lex_sem_strong,5,0.158974358974359,0.3974358974358974,0.2271062271062271,0.4522935979338946,0.2797008547008547,0.4742470492470493,0.6410256410256411,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,C_lex_sem_strong,10,0.1153846153846153,0.5769230769230769,0.1923076923076923,0.5491908553420718,0.3137515262515262,0.4742470492470493,0.8461538461538461,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,D_zfilter,1,0.3333333333333333,0.1666666666666666,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5103276353276354,0.3333333333333333,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,D_zfilter,3,0.2478632478632478,0.3717948717948718,0.2974358974358975,0.4506248604360378,0.2863247863247863,0.5103276353276354,0.6410256410256411,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,D_zfilter,5,0.1794871794871795,0.4487179487179487,0.2564102564102565,0.4968583910759392,0.3094017094017094,0.5103276353276354,0.7435897435897436,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,D_zfilter,10,0.123076923076923,0.6153846153846154,0.2051282051282051,0.5786198784032817,0.3447547822547822,0.5103276353276354,0.8717948717948718,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,E_diversity,1,0.3333333333333333,0.1666666666666666,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.513064713064713,0.3333333333333333,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,E_diversity,3,0.2564102564102564,0.3846153846153846,0.3076923076923077,0.4294875230722243,0.2970085470085469,0.513064713064713,0.6410256410256411,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,E_diversity,5,0.2051282051282051,0.5128205128205128,0.2930402930402931,0.5075116759384519,0.3450854700854701,0.513064713064713,0.7435897435897436,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,E_diversity,10,0.1282051282051282,0.6410256410256411,0.2136752136752136,0.5732516437341411,0.3749999999999999,0.513064713064713,0.8461538461538461,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,F_recall_first,1,0.3333333333333333,0.1666666666666666,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.4783679283679283,0.3333333333333333,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,F_recall_first,3,0.2222222222222222,0.3333333333333333,0.2666666666666666,0.4402495945888445,0.25,0.4783679283679283,0.6153846153846154,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,F_recall_first,5,0.158974358974359,0.3974358974358974,0.2271062271062272,0.4801468487790782,0.2724358974358974,0.4783679283679283,0.6666666666666666,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,F_recall_first,10,0.1025641025641025,0.5128205128205128,0.1709401709401709,0.5420788146944422,0.2937016687016687,0.4783679283679283,0.7948717948717948,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,G_mnn_heavy,1,0.3333333333333333,0.1666666666666666,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5095441595441594,0.3333333333333333,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,G_mnn_heavy,3,0.2478632478632478,0.3717948717948718,0.2974358974358975,0.4605441631856415,0.2863247863247863,0.5095441595441594,0.6410256410256411,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,G_mnn_heavy,5,0.1846153846153846,0.4615384615384615,0.2637362637362638,0.5220926936607787,0.3126068376068375,0.5095441595441594,0.7692307692307693,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,G_mnn_heavy,10,0.1153846153846153,0.5769230769230769,0.1923076923076923,0.5767010219592604,0.3373524623524623,0.5095441595441594,0.8461538461538461,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,H_zfilter,1,0.3333333333333333,0.1666666666666666,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5088929588929588,0.3333333333333333,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,H_zfilter,3,0.2478632478632478,0.3717948717948718,0.2974358974358975,0.4602404168439449,0.2884615384615384,0.5088929588929588,0.6410256410256411,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
home_jovyan_Joel_Pardo_AI4LABOUR_Mejoras_results_models_simcse_coursera_base_sentence_transformers_all_MiniLM_L6_v2,H_zfilter,5,0.1846153846153846,0.4615384615384615,0.2637362637362638,0.5134253422233439,0.316025641025641,0.5088929588929588,0.7435897435897436,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
