model,preset,k,P@k,R@k,F1@k,nDCG@k,MAP@k,MRR,coverage_rel@k,coverage_any@k,queries,_source_container,_source_pipeline,_source_artifact,_source_basename,_source_relpath,_source_mtime
embedding-data/deberta-sentence-transformer,G_mnn_heavy,5,0.0604651162790697,0.1511627906976744,0.0863787375415282,0.1271297184543063,0.0967054263565891,0.1651162790697674,0.2558139534883721,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,G_mnn_heavy,10,0.0383720930232558,0.1976744186046511,0.0641296687808315,0.1439844820250208,0.1035529715762273,0.1651162790697674,0.313953488372093,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,H_zfilter,1,0.127906976744186,0.063953488372093,0.0852713178294573,0.127906976744186,0.127906976744186,0.1648394241417497,0.127906976744186,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,H_zfilter,3,0.0620155038759689,0.0988372093023255,0.0755813953488372,0.1018883916421632,0.0813953488372093,0.1648394241417497,0.1744186046511628,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,H_zfilter,5,0.0488372093023255,0.127906976744186,0.0703211517165005,0.116303849589292,0.0877906976744186,0.1648394241417497,0.2325581395348837,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,H_zfilter,10,0.0302325581395348,0.1569767441860465,0.0505637773079633,0.1278814756915351,0.0942414174972314,0.1648394241417497,0.2558139534883721,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,I_short_skills_bias,1,0.1511627906976744,0.0755813953488372,0.1007751937984496,0.1511627906976744,0.1511627906976744,0.2210871170173495,0.1511627906976744,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,I_short_skills_bias,3,0.0968992248062015,0.1511627906976744,0.1174418604651162,0.1467021686807783,0.1153100775193798,0.2210871170173495,0.2674418604651162,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,I_short_skills_bias,5,0.0697674418604651,0.1802325581395348,0.1002214839424141,0.1608051800022873,0.1225775193798449,0.2210871170173495,0.313953488372093,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,I_short_skills_bias,10,0.0441860465116279,0.2267441860465116,0.0738195912614517,0.1789138622617571,0.1315337763012181,0.2210871170173495,0.3604651162790697,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,J_char_heavy,1,0.1744186046511628,0.0872093023255814,0.1162790697674418,0.1744186046511628,0.1744186046511628,0.2417635658914728,0.1744186046511628,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,J_char_heavy,3,0.1124031007751937,0.1744186046511628,0.1360465116279069,0.1671575450464127,0.128875968992248,0.2417635658914728,0.313953488372093,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,J_char_heavy,5,0.0720930232558139,0.1860465116279069,0.1035437430786268,0.1726737709247685,0.1335271317829457,0.2417635658914728,0.313953488372093,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,J_char_heavy,10,0.0441860465116279,0.2267441860465116,0.0738195912614517,0.1891254697064414,0.1422457548911037,0.2417635658914728,0.3488372093023256,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,1,0.1162790697674418,0.0581395348837209,0.0775193798449612,0.1162790697674418,0.1162790697674418,0.2279023624953857,0.1162790697674418,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,3,0.1240310077519379,0.1860465116279069,0.1488372093023255,0.1618572184784673,0.125968992248062,0.2279023624953857,0.313953488372093,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,5,0.0976744186046511,0.2441860465116279,0.1395348837209303,0.1910005809983444,0.1451550387596899,0.2279023624953857,0.3720930232558139,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,10,0.0627906976744186,0.3197674418604651,0.1048273431994362,0.2196223814219205,0.1575696751568844,0.2279023624953857,0.4651162790697674,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
sentence-transformers/all-MiniLM-L6-v2,B_hybrid_light,1,0.2209302325581395,0.1104651162790697,0.1472868217054263,0.2209302325581395,0.2209302325581395,0.2785991140642303,0.2209302325581395,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
sentence-transformers/all-MiniLM-L6-v2,B_hybrid_light,3,0.1124031007751937,0.1686046511627907,0.1348837209302325,0.1767117196683939,0.1395348837209302,0.2785991140642303,0.313953488372093,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
sentence-transformers/all-MiniLM-L6-v2,B_hybrid_light,5,0.0790697674418604,0.1976744186046511,0.1129568106312292,0.191752070866762,0.1505813953488372,0.2785991140642303,0.3372093023255814,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
sentence-transformers/all-MiniLM-L6-v2,B_hybrid_light,10,0.0499999999999999,0.2558139534883721,0.0835095137420719,0.2127965672934924,0.1588870431893687,0.2785991140642303,0.4186046511627907,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,1,0.2325581395348837,0.1220930232558139,0.1589147286821705,0.2325581395348837,0.2325581395348837,0.2826965669988926,0.2325581395348837,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,3,0.1124031007751938,0.1744186046511628,0.1360465116279069,0.1857082965808251,0.1511627906976744,0.2826965669988926,0.313953488372093,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,5,0.0744186046511627,0.191860465116279,0.1068660022148394,0.1946075286495981,0.1566860465116279,0.2826965669988926,0.3372093023255814,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
sentence-transformers/all-MiniLM-L6-v2,C_lex_sem_strong,10,0.0453488372093023,0.2325581395348837,0.0757575757575757,0.2109633742027774,0.1648117386489479,0.2826965669988926,0.3837209302325581,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
sentence-transformers/all-MiniLM-L6-v2,D_char_jaccard,1,0.2325581395348837,0.1162790697674418,0.1550387596899224,0.2325581395348837,0.2325581395348837,0.2908084163898117,0.2325581395348837,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
